text,label
You are stupid,1
I hate you,1
Nobody likes you,1
You are worthless,1
Go kill yourself,1
You are dumb,1
Shut up idiot,1
You are useless,1
You are a loser,1
Get lost,1
I will report you,1
You are pathetic,1
You are annoying,1
Stop talking nonsense,1
You are horrible,1
Have a nice day,0
You are amazing,0
I appreciate your help,0
Let's work together,0
Thank you so much,0
Good morning friend,0
Happy birthday,0
Well done,0
You did great,0
Keep going strong,0
Nice to meet you,0
You are very kind,0
I respect you,0
This is wonderful,0
Great teamwork,0
